,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Install Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
9/26/2016,"58,32%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2016,"52,92%","43,90%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2016,"54,54%","45,27%","39,89%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2016,"47,52%","39,32%","35,10%","32,18%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2016,"47,52%","39,40%","36,28%","31,82%","29,79%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2016,"61,56%","54,11%","48,46%","44,55%","40,45%","37,53%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2016,"48,60%","42,95%","37,97%","36,26%","33,66%","30,78%","28,96%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2016,"61,02%","53,29%","48,22%","46,07%","42,08%","39,60%","36,46%","35,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,"52,38%","45,55%","42,26%","39,21%","36,80%","34,21%","31,86%","30,15%","28,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2016,"60,48%","53,44%","47,76%","44,37%","41,02%","39,53%","36,86%","34,77%","32,91%","31,05%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
