,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Install Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
9/26/2016,"68,01%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2016,"68,62%","56,35%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2016,"68,01%","55,84%","51,06%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2016,"55,37%","47,03%","41,24%","38,37%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2016,"54,77%","45,46%","41,49%","37,01%","34,62%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2016,"61,39%","52,78%","48,53%","45,32%","40,78%","37,21%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2016,"55,98%","48,68%","44,53%","40,97%","37,96%","35,17%","32,99%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2016,"59,59%","51,93%","47,80%","44,81%","41,13%","38,86%","35,75%","33,74%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,"55,37%","49,23%","45,08%","40,43%","37,99%","36,61%","34,23%","31,49%","29,54%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2016,"64,40%","56,45%","51,07%","47,68%","43,42%","41,97%","39,60%","37,55%","34,80%","33,33%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2016,"63,80%","56,38%","50,59%","47,22%","44,12%","40,43%","38,49%","37,10%","35,05%","33,37%","30,95%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2016,"60,79%","52,68%","47,94%","43,46%","41,17%","38,10%","36,23%","34,37%","32,95%","30,83%","28,97%","27,84%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2016,"60,79%","52,88%","47,82%","43,83%","40,77%","38,31%","36,38%","34,83%","32,89%","30,85%","30,06%","28,23%","27,21%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2016,"54,77%","48,23%","43,75%","40,20%","37,42%","35,18%","33,76%","31,53%","29,68%","28,34%","27,57%","25,83%","24,45%","23,46%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2016,"63,80%","55,42%","50,96%","47,70%","43,68%","41,72%","38,64%","36,45%","34,04%","32,61%","32,25%","30,13%","28,71%","27,48%","26,47%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2016,"64,40%","55,58%","51,16%","47,78%","44,36%","41,94%","39,54%","37,58%","35,31%","33,89%","32,68%","31,85%","29,96%","29,03%","27,13%","26,12%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,"62,00%","55,86%","50,92%","47,59%","44,95%","41,64%","40,50%","37,25%","35,62%","33,87%","32,81%","31,82%","30,38%","28,71%","28,06%","26,12%","24,95%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2016,"60,79%","55,63%","50,44%","46,71%","43,52%","41,95%","39,92%","37,85%","35,82%","34,34%","33,25%","31,26%","29,63%","29,30%","28,63%","26,53%","25,45%","24,82%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2016,"68,62%","60,95%","57,49%","54,49%","50,81%","47,20%","45,13%","43,48%","41,41%","39,15%","37,73%","36,09%","34,98%","33,39%","32,39%","31,12%","29,41%","28,22%","27,33%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2016,"55,98%","50,22%","46,37%","43,42%","41,41%","38,63%","37,59%","35,49%","34,58%","33,00%","31,10%","30,16%","28,99%","27,98%","26,96%","25,28%","25,10%","23,43%","22,76%","22,12%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2016,"56,58%","51,09%","46,94%","44,53%","42,46%","40,28%","38,61%","36,72%","35,18%","34,11%","33,01%","31,54%","30,44%","28,58%","27,15%","26,57%","25,65%","25,15%","23,87%","22,92%","22,20%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2016,"54,17%","48,64%","44,87%","42,80%","39,43%","38,59%","37,64%","35,56%","33,67%","32,95%","32,24%","31,31%","29,73%","28,54%","26,98%","26,33%","25,52%","24,34%","23,52%","22,86%","21,97%","20,97%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
