,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Install Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
9/26/2016,"65,40%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2016,"69,00%","57,07%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2016,"54,60%","45,82%","39,97%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2016,"57,00%","47,83%","43,00%","38,45%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2016,"53,40%","44,63%","39,85%","36,70%","33,14%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2016,"61,20%","53,26%","48,86%","44,24%","40,98%","37,88%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2016,"58,20%","50,46%","45,37%","43,81%","39,23%","37,22%","34,57%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2016,"57,60%","50,61%","45,84%","42,50%","40,69%","37,38%","34,11%","32,71%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,"52,80%","46,29%","42,64%","39,02%","36,92%","34,56%","31,99%","30,12%","28,02%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2016,"54,00%","46,81%","43,25%","40,06%","36,66%","34,50%","33,04%","31,30%","29,44%","27,95%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2016,"63,00%","55,01%","49,96%","46,07%","43,52%","40,82%","38,20%","36,78%","34,12%","33,05%","31,06%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2016,"51,00%","44,73%","40,26%","36,35%","34,50%","32,16%","30,12%","28,63%","27,70%","25,66%","24,37%","23,36%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2016,"55,20%","48,26%","43,60%","40,81%","36,80%","35,45%","33,20%","31,85%","30,13%","28,24%","27,40%","25,51%","24,29%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2016,"63,60%","55,55%","51,41%","47,01%","43,76%","40,20%","38,55%","36,28%","34,42%","33,36%","31,70%","30,66%","28,73%","27,02%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2016,"53,40%","46,19%","42,27%","39,09%","37,37%","34,78%","33,13%","30,48%","29,21%","27,98%","27,02%","25,19%","24,27%","23,00%","22,02%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2016,"64,80%","55,87%","51,73%","47,88%","45,04%","42,15%","39,90%","38,15%","35,89%","33,82%","32,85%","31,67%","29,99%","28,77%","27,41%","25,81%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,"66,60%","59,71%","54,10%","50,77%","47,90%","46,01%","43,38%","40,34%","37,61%","36,67%","34,86%","34,08%","32,35%","31,00%","29,94%","28,46%","26,81%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2016,"54,00%","48,24%","45,57%","42,42%","39,16%","37,27%","35,46%","33,62%","32,04%","29,99%","29,56%","27,65%","26,56%","25,70%","24,70%","23,54%","22,93%","21,83%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
