,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Install Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
9/26/2016,"41,90%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2016,"37,49%","30,94%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2016,"43,66%","36,31%","32,12%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2016,"38,37%","32,61%","28,40%","25,96%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2016,"48,95%","40,79%","37,23%","33,31%","30,35%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2016,"44,10%","38,26%","34,68%","31,75%","29,18%","26,89%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2016,"42,34%","37,45%","33,64%","31,30%","28,60%","26,62%","25,63%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2016,"41,01%","36,69%","32,54%","30,23%","28,60%","26,61%","24,88%","23,76%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,"48,95%","43,22%","38,98%","35,67%","33,55%","31,88%","30,10%","28,00%","26,08%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2016,"50,27%","43,80%","40,26%","37,11%","34,58%","32,41%","30,88%","28,64%","27,44%","25,69%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2016,"44,54%","38,66%","35,71%","32,93%","30,80%","28,69%","27,34%","25,69%","24,59%","23,11%","21,48%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2016,"41,90%","36,30%","33,37%","30,32%","27,81%","26,44%","24,47%","23,42%","22,44%","21,35%","20,26%","19,19%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2016,"45,86%","39,65%","36,37%","33,34%","31,10%","29,37%","27,61%","26,30%","25,09%","23,70%","22,32%","21,47%","20,26%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2016,"46,31%","41,30%","36,84%","34,84%","31,13%","29,77%","28,20%","26,33%","24,94%","23,98%","22,87%","21,68%","20,56%","19,56%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2016,"46,75%","41,05%","37,56%","35,19%","32,78%","29,78%","29,00%","26,71%","25,27%","24,30%","23,74%","22,01%","21,14%","19,97%","18,99%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
