,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Install Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
9/26/2016,"64,98%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2016,"65,55%","54,92%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2016,"64,98%","53,88%","48,25%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2016,"59,28%","50,29%","44,01%","40,27%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2016,"54,72%","46,75%","41,08%","37,05%","34,03%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2016,"58,14%","50,29%","45,50%","42,54%","38,55%","35,66%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2016,"63,27%","55,08%","49,38%","47,34%","42,65%","39,63%","37,85%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2016,"55,86%","49,42%","44,18%","41,64%","39,42%","36,72%","33,38%","32,01%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,"51,30%","45,56%","40,77%","37,53%","35,90%","34,08%","31,90%","29,00%","27,39%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2016,"54,15%","47,94%","42,76%","39,73%","37,02%","34,80%","32,57%","31,13%","29,67%","27,36%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2016,"59,28%","51,51%","46,58%","43,39%","41,28%","37,95%","36,09%","34,40%","32,17%","30,39%","28,53%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2016,"63,27%","55,44%","49,70%","45,65%","42,55%","40,06%","37,70%","35,41%","34,30%","31,86%","30,15%","29,21%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
